Data Medicao,RADIACAO SOLAR MÉDIA DIÁRIA (Kj/m²),RADIACAO SOLAR MÁXIMA DIÁRIA (Kj/m²)
2009-03-28,1009.9378333333333,3619.154
2009-03-29,1001.9584583333334,3928.828
2009-03-30,1009.5412083333334,3356.724
2009-03-31,979.7010416666666,3499.516
2009-04-01,1069.3764999999999,3725.849
2009-04-02,1029.2077916666665,3627.906
2009-04-03,997.2255416666666,3733.925
2009-04-04,1070.4003750000002,3597.452
2009-04-05,979.0386249999998,3675.264
2009-04-06,542.9047916666666,2330.898
2009-04-07,1013.0638333333332,3572.289
2009-04-08,1024.8775416666665,3462.823
2009-04-09,918.336875,3490.55
2009-04-10,462.9035833333333,1752.738
2009-04-11,677.0984166666667,2746.784
2009-04-12,454.8812500000001,2535.235
2009-04-13,611.6005000000001,2766.29
2009-04-14,526.5304166666666,2998.248
2009-04-15,999.196,3569.128
2009-04-16,884.5820416666664,3154.593
2009-04-17,956.1150000000002,3379.737
2009-04-18,543.857625,2380.028
2009-04-19,875.0001249999999,3342.737
2009-04-20,438.2180416666666,2006.167
2009-04-21,800.2442499999999,3460.937
2009-04-22,409.0587083333334,1364.245
2009-04-23,882.3774166666666,3441.979
2009-04-24,554.1676249999999,2002.965
2009-04-25,797.6754166666668,3180.573
2009-04-26,942.1535,3407.354
2009-04-27,434.2567916666667,1601.546
2009-04-28,685.4612499999998,3521.801
2009-04-29,727.8753750000002,3007.689
2009-04-30,669.0200416666668,2958.635
2009-05-01,785.5471666666666,3445.005
2009-05-02,551.5030416666667,2006.326
2009-05-03,130.44916666666663,539.578
2009-05-04,917.4415833333333,3192.527
2009-05-05,620.2907499999998,2409.554
2009-05-06,891.1560833333332,3375.469
2009-05-07,858.2104583333335,3069.535
2009-05-08,668.0567916666666,2654.759
2009-05-09,904.191375,3294.896
2009-05-10,927.5862916666666,3222.013
2009-05-11,198.54658333333336,799.736
2009-05-12,895.8827083333332,3308.66
2009-05-13,698.6432083333333,3367.827
2009-05-14,876.2962083333332,3420.239
2009-05-15,785.7158749999999,3068.718
2009-05-16,201.45795833333332,1058.959
2009-05-17,712.470875,3286.109
2009-05-18,849.1350000000001,2717.525
2009-05-19,712.9779166666666,2634.012
2009-05-20,907.275,3251.422
2009-05-21,529.87125,2169.648
2009-05-22,360.3817083333334,1242.329
2009-05-23,253.99579166666672,1539.049
2009-05-24,449.466625,1961.753
2009-05-25,843.4413333333333,3195.885
2009-05-26,145.11295833333332,624.311
2009-05-27,179.95770833333333,783.824
2009-05-28,825.1029166666664,2949.125
2009-05-29,703.4601666666667,2737.104
2009-05-30,741.8010416666666,2966.66
2009-05-31,825.6291249999999,3318.79
2009-06-01,262.14687499999997,1006.713
2009-06-02,824.8689166666667,3332.606
2009-06-03,803.1359166666666,2915.6
2009-06-04,368.2639166666666,1281.673
2009-06-05,597.0178333333332,2226.616
2009-06-06,679.7886666666667,2649.379
2009-06-07,781.7940416666665,2822.996
2009-06-08,778.7133333333333,2833.858
2009-06-09,668.5187083333333,2862.744
2009-06-10,300.58725000000004,1166.361
2009-06-11,854.8868333333331,3045.913
2009-06-12,466.07779166666666,1823.184
2009-06-13,679.4786250000001,2356.733
2009-06-14,613.0024999999998,2754.674
2009-06-15,758.64125,3047.406
2009-06-16,765.3712499999998,2867.232
2009-06-17,897.4214999999999,3107.938
2009-06-18,867.5502916666668,3092.558
2009-06-19,634.3089166666667,2334.893
2009-06-20,779.2970833333333,3061.883
2009-06-21,775.8494583333332,3074.54
2009-06-22,481.46125,2287.107
2009-06-23,557.6532916666665,1844.704
2009-06-24,458.6135416666666,2038.031
2009-06-25,335.034875,1986.909
2009-06-26,812.5901249999998,3137.265
2009-06-27,853.2390416666666,3069.135
2009-06-28,768.4177916666666,3143.59
2009-06-29,655.7869583333332,2975.732
2009-06-30,870.8093749999998,3104.481
2009-07-01,459.2073333333333,2420.643
2009-07-02,801.8684166666667,2879.348
2009-07-03,794.3639166666668,3055.503
2009-07-04,260.23616666666663,1619.763
2009-07-05,513.5556250000001,2047.483
2009-07-06,174.05079166666667,937.86
2009-07-07,558.3797083333333,2813.462
2009-07-08,769.8402916666665,2745.56
2009-07-09,764.729375,3089.352
2009-07-10,741.5548750000002,2720.876
2009-07-11,827.3180416666665,3098.835
2009-07-12,669.3369583333333,3226.515
2009-07-13,657.0042500000001,2700.977
2009-07-14,794.7542083333332,3037.782
2009-07-15,807.8698333333332,2981.913
2009-07-16,493.9090416666666,2859.745
2009-07-17,617.1849583333334,2949.684
2009-07-18,321.6491666666666,1629.749
2009-07-19,777.9519583333332,2904.204
2009-07-20,579.7921249999999,2680.794
2009-07-21,374.4781666666667,1653.188
2009-07-22,658.0112083333333,2447.058
2009-07-23,789.7991666666663,3036.775
2009-07-24,847.344125,2964.506
2009-07-25,461.0835833333333,1875.102
2009-07-26,797.5635000000001,3133.353
2009-07-27,791.5243749999998,2900.274
2009-07-28,953.1259166666667,3272.921
2009-07-29,861.4667083333334,3192.465
2009-07-30,762.7759166666666,2997.972
2009-07-31,796.838875,3167.412
2009-08-01,685.6931666666668,2848.645
2009-08-02,828.5704583333331,2950.604
2009-08-03,903.0314583333333,3196.622
2009-08-04,765.1718333333332,2904.332
2009-08-05,742.7160416666667,2827.901
2009-08-06,638.0626250000001,2758.617
2009-08-07,780.5547916666668,2647.128
2009-08-08,944.9160416666665,3267.123
2009-08-09,379.7681666666667,1554.946
2009-08-10,958.9050416666664,3410.301
2009-08-11,700.8598750000001,2849.362
2009-08-12,939.1808333333332,3375.321
2009-08-13,759.4054166666668,2996.266
2009-08-14,885.3763749999999,3118.245
2009-08-15,934.2874166666667,3300.159
2009-08-16,1027.9904583333334,3516.837
2009-08-17,912.9143333333333,3162.145
2009-08-18,1015.5708333333331,3592.65
2009-08-19,903.4208333333332,3332.01
2009-08-20,881.2437916666668,3063.803
2009-08-21,943.0237083333335,3187.633
2009-08-22,838.3290416666664,3682.872
2009-08-23,865.4502916666665,3259.085
2009-08-24,918.0653333333333,3425.709
2009-08-25,632.9420000000001,3236.345
2009-08-26,599.6785833333332,3231.392
2009-08-27,1032.5853333333332,3545.816
2009-08-28,989.93075,3491.071
2009-08-29,1046.2831666666668,3668.26
2009-08-30,1070.9089583333332,3527.161
2009-08-31,984.9521666666665,3608.199
2009-09-01,764.2610833333333,3010.24
2009-09-02,789.3825,2808.495
2009-09-03,698.0595833333333,2567.682
2009-09-04,813.2302083333333,2774.384
2009-09-05,856.519875,3363.88
2009-09-06,866.9593749999999,3118.196
2009-09-07,827.6752916666668,2971.372
2009-09-08,840.8420416666667,2899.54
2009-09-09,787.7221666666666,2965.409
2009-09-10,1001.7270833333333,3219.452
2009-09-11,810.8232916666667,3207.497
2009-09-12,594.7147083333333,2593.755
2009-09-13,1019.41775,3606.017
2009-09-14,709.5722916666665,3034.345
2009-09-15,825.8735833333332,2839.292
2009-09-16,673.1197083333333,2488.646
2009-09-17,814.8704583333333,2790.933
2009-09-18,904.7187916666666,2797.706
2009-09-19,1070.9352500000002,3791.362
2009-09-20,799.9750833333333,3608.079
2009-09-21,1076.7027083333332,3777.774
2009-09-22,904.4217916666666,3336.953
2009-09-23,886.9307499999999,3203.816
2009-09-24,977.136708333333,3412.948
2009-09-25,1101.8635833333333,3830.058
2009-09-26,982.1577083333333,3607.1
2009-09-27,801.5642916666667,3313.83
2009-09-28,546.4225416666667,2227.105
2009-09-29,856.3527916666667,2767.662
2009-09-30,1082.7125,3657.667
2009-10-01,973.7354166666669,3147.689
2009-10-02,1123.4031249999998,3767.781
2009-10-03,1093.9100833333332,3736.679
2009-10-04,1049.5973333333332,3466.094
2009-10-05,949.031333333333,2895.831
2009-10-06,840.9100833333335,2639.768
2009-10-07,1044.7759999999996,2550.95
2009-10-08,1162.3537083333333,3888.484
2009-10-09,1120.894458333333,3876.896
2009-10-10,1048.0199583333333,3623.108
2009-10-11,1089.1316,3074.309
2009-10-12,1042.8320833333332,3871.067
2009-10-13,1147.708208333333,4214.369
2009-10-14,1076.285458333333,3760.146
2009-10-15,1066.6842083333333,3476.959
2009-10-16,932.401875,3167.895
2009-10-17,996.9852500000001,3235.59
2009-10-18,932.225,3865.886
