Data Medicao,RADIACAO GLOBAL MÁXIMA(Kj/m²)
2009-07-16,2859.745
2009-07-17,2949.684
2009-07-18,1629.749
2009-07-19,2904.204
2009-07-20,2680.794
2009-07-21,1653.188
2009-07-22,2447.058
2009-07-23,3036.775
2009-07-24,2964.506
2009-07-25,1875.102
2009-07-26,3133.353
2009-07-27,2900.274
2009-07-28,3272.921
2009-07-29,3192.465
2009-07-30,2997.972
2009-07-31,3167.412
2009-08-01,2848.645
2009-08-02,2950.604
2009-08-03,3196.622
2009-08-04,2904.332
2009-08-05,2827.901
2009-08-06,2758.617
2009-08-07,2647.128
2009-08-08,3267.123
2009-08-09,1554.946
2009-08-10,3410.301
2009-08-11,2849.362
2009-08-12,3375.321
2009-08-13,2996.266
2009-08-14,3118.245
2009-08-15,3300.159
2009-08-16,3516.837
2009-08-17,3162.145
2009-08-18,3592.65
2009-08-19,3332.01
2009-08-20,3063.803
2009-08-21,3187.633
2009-08-22,3682.872
2009-08-23,3259.085
2009-08-24,3425.709
2009-08-25,3236.345
2009-08-26,3231.392
2009-08-27,3545.816
2009-08-28,3491.071
2009-08-29,3668.26
2009-08-30,3527.161
2009-08-31,3608.199
2009-09-01,3010.24
2009-09-02,2808.495
2009-09-03,2567.682
2009-09-04,2774.384
2009-09-05,3363.88
2009-09-06,3118.196
2009-09-07,2971.372
2009-09-08,2899.54
2009-09-09,2965.409
2009-09-10,3219.452
2009-09-11,3207.497
2009-09-12,2593.755
2009-09-13,3606.017
2009-09-14,3034.345
2009-09-15,2839.292
2009-09-16,2488.646
2009-09-17,2790.933
2009-09-18,2797.706
2009-09-19,3791.362
2009-09-20,3608.079
2009-09-21,3777.774
2009-09-22,3336.953
2009-09-23,3203.816
2009-09-24,3412.948
2009-09-25,3830.058
2009-09-26,3607.1
2009-09-27,3313.83
2009-09-28,2227.105
2009-09-29,2767.662
2009-09-30,3657.667
2009-10-01,3147.689
2009-10-02,3767.781
2009-10-03,3736.679
2009-10-04,3466.094
2009-10-05,2895.831
2009-10-06,2639.768
2009-10-07,2550.95
2009-10-08,3888.484
2009-10-09,3876.896
2009-10-10,3623.108
2009-10-11,3074.309
2009-10-12,3871.067
2009-10-13,4214.369
2009-10-14,3760.146
2009-10-15,3476.959
2009-10-16,3167.895
2009-10-17,3235.59
2009-10-18,3865.886
2009-10-19,3980.464
2009-10-20,3648.019
2009-10-21,3335.35
2009-10-22,3988.395
2009-10-23,3755.937
2009-10-24,3915.385
2009-10-25,3643.028
2009-10-26,3787.922
2009-10-27,3861.598
2009-10-28,3923.968
2009-10-29,3791.259
2009-10-30,3836.152
2009-10-31,3276.237
2009-11-01,3517.261
2009-11-02,3399.805
2009-11-03,3503.449
2009-11-04,3165.896
2009-11-05,3578.18
2009-11-06,3655.726
2009-11-07,3833.25
2009-11-08,3375.924
2009-11-09,3418.722
2009-11-10,3771.29
2009-11-11,3525.454
2009-11-12,3223.395
2009-11-13,3812.034
2009-11-14,3576.011
2009-11-15,3818.755
2009-11-16,3486.61
2009-11-17,3715.859
2009-11-18,3630.495
2009-11-19,3242.216
2009-11-20,3758.581
2009-11-21,3064.481
2009-11-22,2860.127
2009-11-23,3300.259
2009-11-24,3706.118
2009-11-25,3513.294
2009-11-26,3629.826
2009-11-27,3691.041
2009-11-28,3257.203
2009-11-29,3549.608
2009-11-30,2815.141
2009-12-01,3543.258
2009-12-02,3351.85
2009-12-03,2221.907
2009-12-04,3523.297
2009-12-05,3756.447
2009-12-06,3215.508
2009-12-07,3197.818
2009-12-08,3481.922
2009-12-09,3613.887
2009-12-10,3110.765
2009-12-11,2894.277
2009-12-12,2489.238
2009-12-13,3644.624
2009-12-14,3572.396
2009-12-15,3590.64
2009-12-16,3603.722
2009-12-17,3399.688
2009-12-18,3300.277
2009-12-19,3007.896
2009-12-20,2787.654
2009-12-21,3114.822
2009-12-22,3039.067
2009-12-23,3604.232
2009-12-24,2962.051
2009-12-25,2259.021
2009-12-26,3429.011
2009-12-27,3099.052
2009-12-28,3071.138
2009-12-29,3539.753
2009-12-30,3702.826
2009-12-31,3681.72
2010-01-01,3261.464
2010-01-02,2148.014
2010-01-03,3829.934
2010-01-04,3665.206
2010-01-05,2691.845
2010-01-06,2956.154
2010-01-07,3215.725
2010-01-08,3199.514
2010-01-09,2266.223
2010-01-10,1369.915
2010-01-11,2811.47
2010-01-12,2876.652
2010-01-13,3020.764
2010-01-14,3226.094
2010-01-15,2875.753
2010-01-16,3462.908
2010-01-17,1341.075
